race_no,winner_no,winner_name,actual_top3,pred_top3,race_flow_label,pace_impression,front_bias,corner_pressure,straight_for_closers,uphill_fatigue,winner_start_pos,winner_3to4c_pos,winner_stretch_path,winner_trip_note,manual_notes
1,16,ムーンブランシュ,"[16, 14, 2]","[6, 1, 2]",前残り,やや遅い,やや強い,やや弱い,不利,なし,逃げ,逃げ,中,序盤は無理せず中団。4角で内へ持ち出して直線で逃げ切り,団子のまま順位の入れ替わりがなく最後まで楽逃げさせてしまった。
2,4,スノースコール,"[4, 14, 3]","[2, 9, 1]",前残り,速い,強い,弱い,不利,ややあり,逃げ,逃げ,内,大逃げでそのまま逃げ残り,予想の3頭はハイペースについていけていない
4,3,テイクオンミー,"[3, 10, 15]","[13, 7, 1]",前残り,平均,強い,弱い,不利,なし,逃げ,逃げ,内,逃げ切り,徹底的な経済コースでロスなく逃げ切り勝ち
5,17,ミッキーファルコン,"[17, 18, 3]","[7, 1, 2]",差し有利,平均,やや強い,強い,有利,強い,後方,好位,大外,大外枠スタートの後方よりで開始、徐々に位置を上げ最終コーナーに大外に持ち出し邪魔されず差し切り,
6,11,クラウトロック,"[11, 4, 9]","[9, 1, 2]",前残り,平均,やや強い,中立,不利,ややあり,後方,好位,外,出遅れ最後方スタート、バックストレッチで位置を上げ最終直線前に先頭,勝馬が強かったが最終直線の伸びは悪い
7,14,ルーフオブヘヴン,"[14, 15, 1]","[2, 1, 3]",消耗戦,やや速い,強い,中立,不利,ややあり,先行,好位,中,先頭争いはせず先行策。1番人気15番をマークし抜け出したあとに差し切って勝利,全体的に順位の入れ替わりがなく最初のポジションのまま消耗戦
8,11,キョウエイフロイデ,"[11, 4, 2]","[8, 1, 2]",平均,平均,中立,弱い,有利,強い,後方,中団外,外,大外に持ち出し前の馬のいない空間を突き抜け,順位の入れ替わりは少ないがバラけた配置、他の馬が他の馬に干渉するポジションになりにくい
9,7,ドゥカート,"[7, 5, 6]","[7, 1, 2]",前残り,平均,やや強い,弱い,中立,なし,先行,先行,中,逃げ馬を前においてペースをとり最内は走らず馬場のきれいな中を突き抜けて勝ち,ペースが平均で前が止まらないため差しが届かない
10,1,プルナチャンドラ,"[1, 7, 8]","[9, 1, 2]",先行総崩れ,平均,中立,中立,有利,ややあり,中団,中団外,外,最内を経済コースで走り最終コーナーで外に持ち出し先行抜け出し,逃げ馬が逃げ残りを図るが離しきれず最後は足が上がって終わり
11,16,エセルフリーダ,"[16, 10, 4]","[8, 1, 2]",前残り,平均,中立,強い,中立,ややあり,先行,好位,外,先行好位抜け出し。後ろは届かない,ハナを取る馬がいなかったため中団がごちゃつき序盤の位置で決まってしまった
12,2,プリムツァール,"[2, 8, 1]","[4, 2, 1]",前残り,やや速い,やや強い,弱い,中立,ややあり,先行,好位,中,経済コース逃げ抜け出し勝ち,逃げ馬が一頭だけいたが誰も競りかけずペースがゆるくなり、コーナーで追いつかれる
