race_no,result_pdf,sim_json,actual_top3,pred_top3,winner_no,winner_name,winner_pred_rank,winner_in_pred_top3,top3_overlap_count,top3_overlap,main_worldline_pace,main_worldline_shape,main_worldline_prob,main_worldline_reason,main_worldline_horse_dynamics,video_checked,manual_start_straight_positions,manual_pre_last_corner_positions,manual_final_straight_positions,manual_best_matching_branch,manual_top3_match,manual_notes,manual_confidence_1to5,needs_model_fix,position_format_guide
1,output/eval_11r_results/2026年1月24日（土曜）1回中山8日 1レース.pdf,output/exp_worldline_11r_stylehint/Race_1_(2026年1月24日（土曜）1回中山8日_1レース).json,"[16, 14, 2]","[6, 1, 2]",16,ムーンブランシュ,16,False,1,[2],Front-runners maintain early lead through tight corner compression,long_run_to_corner,0.35,"[""Multiple Nige-style horses (1, 2, 4, 6, 7, 9) establish early front pack"", ""Tight corner profile forces compression and favors inside runners"", ""Senko horses (5, 8, 15) are positioned mid-pack and may lose ground in tight pack"", ""Oikomi horses (3, 10, 11, 12, 13, 14, 16) remain deep and conserve energy"", ""initial_front_count=9""]","{""1"": {""mid_gain"": 0.1, ""late_gain"": 0.0, ""traffic_risk_adj"": -0.1, ""wide_risk_adj"": 0.0}, ""2"": {""mid_gain"": 0.05, ""late_gain"": 0.0, ""traffic_risk_adj"": -0.05, ""wide_risk_adj"": 0.0}, ""5"": {""mid_gain"": -0.2, ""late_gain"": 0.0, ""traffic_risk_adj"": 0.0, ""wide_risk_adj"": 0.0}, ""8"": {""mid_gain"": -0.15, ""late_gain"": 0.0, ""traffic_risk_adj"": 0.0, ""wide_risk_adj"": 0.0}, ""16"": {""mid_gain"": 0.0, ""late_gain"": 0.1, ""traffic_risk_adj"": 0.0, ""wide_risk_adj"": 0.0}}",,,,,,,,,,"Use JSON: [{""horse_no"":16,""x"":0.12,""y"":0.80}, ...] (x:left->right, y:front->back, 0.0-1.0)"
2,output/eval_11r_results/2026年1月24日（土曜）1回中山8日 2レース.pdf,output/exp_worldline_11r_stylehint/Race_1_(2026年1月24日（土曜）1回中山8日_2レース).json,"[4, 14, 3]","[2, 9, 1]",4,スノースコール,5,False,0,[],Front-runners maintain lead through tight corners with minimal compression,long_run_to_corner,0.35,"[""Three Nige-style horses (2, 3, 4) establish early pace without excessive pressure"", ""Tight corner profile favors inside runners who preserve energy"", ""Senko stalkers (6, 8, 9, 11, 12, 16) maintain positions without forced acceleration"", ""Long homestretch allows early leaders to persist without significant fatigue"", ""initial_front_count=9""]","{""2"": {""mid_gain"": 0.1, ""late_gain"": 0.05, ""traffic_risk_adj"": 0.0, ""wide_risk_adj"": 0.0}, ""3"": {""mid_gain"": 0.05, ""late_gain"": 0.0, ""traffic_risk_adj"": 0.0, ""wide_risk_adj"": 0.0}, ""6"": {""mid_gain"": 0.0, ""late_gain"": 0.1, ""traffic_risk_adj"": 0.0, ""wide_risk_adj"": 0.0}, ""8"": {""mid_gain"": 0.0, ""late_gain"": 0.05, ""traffic_risk_adj"": 0.0, ""wide_risk_adj"": 0.0}, ""16"": {""mid_gain"": 0.0, ""late_gain"": 0.1, ""traffic_risk_adj"": 0.0, ""wide_risk_adj"": 0.0}}",,,,,,,,,,"Use JSON: [{""horse_no"":16,""x"":0.12,""y"":0.80}, ...] (x:left->right, y:front->back, 0.0-1.0)"
4,output/eval_11r_results/2026年1月24日（土曜）1回中山8日 4レース.pdf,output/exp_worldline_11r_stylehint/Race_1_(2026年1月24日（土曜）1回中山8日_4レース).json,"[3, 10, 15]","[13, 7, 1]",3,テイクオンミー,5,False,0,[],Front-runners maintain lead through tight corners with minimal compression,long_run_to_corner,0.35,"[""Nige horses (2, 14, 15) establish early lead with calm pace"", ""Tight corners favor front-runners who can navigate inside lanes"", ""Senko horses (3, 4, 7) preserve energy by following closely"", ""Oikomi horses (1, 5, 6, 10, 13) remain in pack without early acceleration"", ""Uphill finish may cause front-runners to weaken late"", ""initial_front_count=6""]","{""2"": {""mid_gain"": 0.1, ""late_gain"": -0.2, ""traffic_risk_adj"": 0.0, ""wide_risk_adj"": 0.0}, ""14"": {""mid_gain"": 0.05, ""late_gain"": -0.15, ""traffic_risk_adj"": 0.0, ""wide_risk_adj"": 0.0}, ""3"": {""mid_gain"": 0.0, ""late_gain"": 0.1, ""traffic_risk_adj"": 0.0, ""wide_risk_adj"": 0.0}, ""7"": {""mid_gain"": 0.0, ""late_gain"": 0.1, ""traffic_risk_adj"": 0.0, ""wide_risk_adj"": 0.0}, ""15"": {""mid_gain"": 0.1, ""late_gain"": -0.1, ""traffic_risk_adj"": 0.0, ""wide_risk_adj"": 0.0}}",,,,,,,,,,"Use JSON: [{""horse_no"":16,""x"":0.12,""y"":0.80}, ...] (x:left->right, y:front->back, 0.0-1.0)"
5,output/eval_11r_results/2026年1月24日（土曜）1回中山8日 5レース.pdf,output/exp_worldline_11r_stylehint/Race_1_(2026年1月24日（土曜）1回中山8日_5レース).json,"[17, 18, 3]","[7, 1, 2]",17,ミッキーファルコン,17,False,0,[],Stable front-runners with moderate compression,Long final straight with uphill finish,0.35,"[""Multiple Senko runners (1, 2, 6, 8) establish early pace without excessive pressure"", ""Long homestretch (310m) allows late runners to improve if front-runners conserve energy"", ""Uphill finish penalizes early acceleration more than late acceleration"", ""Gentle corner profile reduces wide-lane loss risk for most runners"", ""initial_front_count=10""]","{""1"": {""mid_gain"": -0.1, ""late_gain"": 0.0, ""traffic_risk_adj"": 0.0, ""wide_risk_adj"": 0.0}, ""2"": {""mid_gain"": -0.15, ""late_gain"": 0.05, ""traffic_risk_adj"": 0.0, ""wide_risk_adj"": 0.0}, ""5"": {""mid_gain"": 0.0, ""late_gain"": 0.2, ""traffic_risk_adj"": 0.0, ""wide_risk_adj"": 0.0}, ""10"": {""mid_gain"": 0.0, ""late_gain"": 0.15, ""traffic_risk_adj"": 0.0, ""wide_risk_adj"": 0.0}, ""18"": {""mid_gain"": 0.05, ""late_gain"": 0.1, ""traffic_risk_adj"": 0.0, ""wide_risk_adj"": 0.0}}",,,,,,,,,,"Use JSON: [{""horse_no"":16,""x"":0.12,""y"":0.80}, ...] (x:left->right, y:front->back, 0.0-1.0)"
6,output/eval_11r_results/2026年1月24日（土曜）1回中山8日 6レース.pdf,output/exp_worldline_11r_stylehint/Race_1_(2026年1月24日（土曜）1回中山8日_6レース).json,"[11, 4, 9]","[9, 1, 2]",11,クラウトロック,11,False,1,[9],Front-runners maintain early lead with tight pack compression,long_run_to_corner,0.35,"[""Multiple Nige horses (1, 2, 4, 5) establish early pace"", ""Tight corner profile forces compression and lane discipline"", ""Inside runners (4, 5) retain position advantage through first turn"", ""Oikomi group (7-12) faces early traffic pressure"", ""initial_front_count=6""]","{""4"": {""mid_gain"": 0.1, ""late_gain"": 0.0, ""traffic_risk_adj"": -0.1, ""wide_risk_adj"": 0.0}, ""5"": {""mid_gain"": 0.1, ""late_gain"": 0.0, ""traffic_risk_adj"": -0.1, ""wide_risk_adj"": 0.0}, ""1"": {""mid_gain"": 0.0, ""late_gain"": -0.1, ""traffic_risk_adj"": 0.0, ""wide_risk_adj"": 0.0}, ""7"": {""mid_gain"": -0.1, ""late_gain"": 0.0, ""traffic_risk_adj"": -0.2, ""wide_risk_adj"": 0.0}, ""10"": {""mid_gain"": -0.1, ""late_gain"": 0.1, ""traffic_risk_adj"": 0.0, ""wide_risk_adj"": 0.0}}",,,,,,,,,,"Use JSON: [{""horse_no"":16,""x"":0.12,""y"":0.80}, ...] (x:left->right, y:front->back, 0.0-1.0)"
7,output/eval_11r_results/2026年1月24日（土曜）1回中山8日 7レース.pdf,output/exp_worldline_11r_stylehint/Race_1_(2026年1月24日（土曜）1回中山8日_7レース).json,"[14, 15, 1]","[2, 1, 3]",14,ルーフオブヘヴン,14,False,1,[1],Front-runners maintain early lead through tight corner compression,long_run_to_corner,0.35,"[""Multiple Nige horses (1, 2, 4, 5, 9, 14) create early pressure"", ""Tight corner profile forces compression and favors inside runners"", ""Front-runners with good last3f_avg (1, 2, 4) likely to retain position"", ""Senko horses (6, 8, 12) may lose ground if pace is too fast"", ""initial_front_count=9""]","{""1"": {""mid_gain"": 0.1, ""late_gain"": 0.0, ""traffic_risk_adj"": -0.1, ""wide_risk_adj"": 0.0}, ""2"": {""mid_gain"": 0.05, ""late_gain"": 0.0, ""traffic_risk_adj"": -0.05, ""wide_risk_adj"": 0.0}, ""4"": {""mid_gain"": 0.15, ""late_gain"": 0.0, ""traffic_risk_adj"": -0.1, ""wide_risk_adj"": 0.0}, ""6"": {""mid_gain"": -0.1, ""late_gain"": 0.0, ""traffic_risk_adj"": 0.0, ""wide_risk_adj"": 0.0}, ""8"": {""mid_gain"": -0.15, ""late_gain"": 0.0, ""traffic_risk_adj"": 0.0, ""wide_risk_adj"": 0.0}, ""12"": {""mid_gain"": -0.1, ""late_gain"": 0.0, ""traffic_risk_adj"": 0.0, ""wide_risk_adj"": 0.0}}",,,,,,,,,,"Use JSON: [{""horse_no"":16,""x"":0.12,""y"":0.80}, ...] (x:left->right, y:front->back, 0.0-1.0)"
8,output/eval_11r_results/2026年1月24日（土曜）1回中山8日 8レース.pdf,output/exp_worldline_11r_stylehint/Race_1_(2026年1月24日（土曜）1回中山8日_8レース).json,"[11, 4, 2]","[8, 1, 2]",11,キョウエイフロイデ,11,False,1,[2],Front-runners maintain early lead with moderate compression,Long final straight with uphill finish,0.35,"[""Multiple Nige horses (2, 4, 8, 10, 11) set early pace"", ""Long homestretch (308m) allows late runners to improve"", ""Uphill finish increases fatigue risk for early leaders"", ""Inside lane preservation reduces path loss for front runners"", ""initial_front_count=6""]","{""2"": {""mid_gain"": -0.2, ""late_gain"": -0.1, ""traffic_risk_adj"": 0.0, ""wide_risk_adj"": 0.0}, ""8"": {""mid_gain"": -0.1, ""late_gain"": -0.2, ""traffic_risk_adj"": 0.0, ""wide_risk_adj"": 0.0}, ""11"": {""mid_gain"": -0.1, ""late_gain"": -0.1, ""traffic_risk_adj"": 0.0, ""wide_risk_adj"": 0.0}, ""7"": {""mid_gain"": 0.1, ""late_gain"": 0.2, ""traffic_risk_adj"": 0.0, ""wide_risk_adj"": 0.0}, ""1"": {""mid_gain"": 0.1, ""late_gain"": 0.1, ""traffic_risk_adj"": 0.0, ""wide_risk_adj"": 0.0}, ""6"": {""mid_gain"": 0.0, ""late_gain"": 0.2, ""traffic_risk_adj"": 0.0, ""wide_risk_adj"": 0.0}}",,,,,,,,,,"Use JSON: [{""horse_no"":16,""x"":0.12,""y"":0.80}, ...] (x:left->right, y:front->back, 0.0-1.0)"
9,output/eval_11r_results/2026年1月24日（土曜）1回中山8日 9レース.pdf,output/exp_worldline_11r_stylehint/Race_1_(2026年1月24日（土曜）1回中山8日_9レース).json,"[7, 5, 6]","[7, 1, 2]",7,ドゥカート,1,True,1,[7],Front-runners maintain lead through tight corners,short_run_to_corner,0.35,"[""Two Nige horses (2, 6) set early pace with short run to first corner"", ""Tight corners favor front-runners who can hold inside positions"", ""Senko horses (3, 4, 7) likely to follow closely without wide travel"", ""Sashi horses (1, 5) may struggle to accelerate through tight turns"", ""initial_front_count=5""]","{""2"": {""mid_gain"": 0.1, ""late_gain"": 0.0, ""traffic_risk_adj"": -0.1, ""wide_risk_adj"": 0.0}, ""6"": {""mid_gain"": 0.05, ""late_gain"": 0.0, ""traffic_risk_adj"": -0.1, ""wide_risk_adj"": 0.0}, ""3"": {""mid_gain"": -0.05, ""late_gain"": 0.1, ""traffic_risk_adj"": 0.0, ""wide_risk_adj"": 0.0}, ""4"": {""mid_gain"": -0.05, ""late_gain"": 0.1, ""traffic_risk_adj"": 0.0, ""wide_risk_adj"": 0.0}, ""1"": {""mid_gain"": -0.1, ""late_gain"": 0.0, ""traffic_risk_adj"": 0.0, ""wide_risk_adj"": 0.0}, ""5"": {""mid_gain"": -0.1, ""late_gain"": 0.0, ""traffic_risk_adj"": 0.0, ""wide_risk_adj"": 0.0}}",,,,,,,,,,"Use JSON: [{""horse_no"":16,""x"":0.12,""y"":0.80}, ...] (x:left->right, y:front->back, 0.0-1.0)"
10,output/eval_11r_results/2026年1月24日（土曜）1回中山8日 10レースpdf,output/exp_worldline_11r_stylehint/Race_1_(2026年1月24日（土曜）1回中山8日_10レース).json,"[1, 7, 8]","[9, 1, 2]",1,プルナチャンドラ,2,True,1,[1],Front-runners maintain early lead with stable pace,Long final straight with uphill finish,0.35,"[""Nige front-runners (1, 2, 5) set a steady early pace without excessive pressure"", ""Senko stalkers (3, 4, 7) preserve energy behind leaders"", ""Long homestretch (308m) allows late runners to improve if leaders fatigue on uphill"", ""Uphill finish increases fatigue risk for early leaders who spent energy early"", ""initial_front_count=6""]","{""1"": {""mid_gain"": -0.2, ""late_gain"": -0.1, ""traffic_risk_adj"": 0.0, ""wide_risk_adj"": 0.0}, ""2"": {""mid_gain"": -0.1, ""late_gain"": -0.2, ""traffic_risk_adj"": 0.0, ""wide_risk_adj"": 0.0}, ""5"": {""mid_gain"": -0.15, ""late_gain"": -0.15, ""traffic_risk_adj"": 0.0, ""wide_risk_adj"": 0.0}, ""9"": {""mid_gain"": 0.1, ""late_gain"": 0.25, ""traffic_risk_adj"": 0.0, ""wide_risk_adj"": 0.0}, ""10"": {""mid_gain"": 0.05, ""late_gain"": 0.2, ""traffic_risk_adj"": 0.0, ""wide_risk_adj"": 0.0}}",,,,,,,,,,"Use JSON: [{""horse_no"":16,""x"":0.12,""y"":0.80}, ...] (x:left->right, y:front->back, 0.0-1.0)"
11,output/eval_11r_results/2026年1月24日（土曜）1回中山8日 11レース.pdf,output/exp_worldline_11r_stylehint/Race_1_(2026年1月24日（土曜）1回中山8日_11レース).json,"[16, 10, 4]","[8, 1, 2]",16,エセルフリーダ,16,False,0,[],Front-runners maintain lead through tight corners,long_run_to_corner,0.35,"[""Short distance to first corner favors early leaders"", ""Tight corners increase pressure on rear runners"", ""Front-runners (Senko/Nige) conserve energy through stable pace"", ""Late improvement limited by uphill finish fatigue"", ""initial_front_count=10""]","{""3"": {""mid_gain"": 0.1, ""late_gain"": 0.0, ""traffic_risk_adj"": 0.0, ""wide_risk_adj"": 0.0}, ""5"": {""mid_gain"": 0.0, ""late_gain"": -0.1, ""traffic_risk_adj"": 0.0, ""wide_risk_adj"": 0.0}, ""7"": {""mid_gain"": 0.0, ""late_gain"": -0.1, ""traffic_risk_adj"": 0.0, ""wide_risk_adj"": 0.0}, ""11"": {""mid_gain"": 0.0, ""late_gain"": 0.0, ""traffic_risk_adj"": 0.0, ""wide_risk_adj"": 0.0}, ""14"": {""mid_gain"": 0.0, ""late_gain"": 0.0, ""traffic_risk_adj"": 0.0, ""wide_risk_adj"": 0.0}, ""16"": {""mid_gain"": 0.0, ""late_gain"": 0.0, ""traffic_risk_adj"": 0.0, ""wide_risk_adj"": 0.0}}",,,,,,,,,,"Use JSON: [{""horse_no"":16,""x"":0.12,""y"":0.80}, ...] (x:left->right, y:front->back, 0.0-1.0)"
